name,pdf_url
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS GBP U DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS USD I ACC,annual_report_does_not_exists
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR I DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE COMPOUNDERS EUR SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE S EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE S USD Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE S USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE S EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE COMPOUNDERS EUR I ACC,annual_report_does_not_exists
COMGEST GROWTH EUROPE OPPORTUNITIES USD I H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES GBP U H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE PLUS EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES EUR X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE COMPOUNDERS EUR X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES EUR DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
