name,pdf_url
SOREA CROISSANCE E,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/SDC.Par.RA.File.pdf
LBPAM OBLI MONDE C,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/VYS.Par.RA.File.pdf
LBPAM ISR TOTAL RETURN CREDIT R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/TRC.Par.RA.File.pdf
LBPAM ISR STRATEGIE PEA 2 R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/FLX.Par.RA.File.pdf
LBPAM RESPONSABLE ACTIONS EURO R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/EMG.Par.RA.File.pdf
LBPAM ISR STRATEGIE PEA 1 R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ARE.Par.RA.File.pdf
LBPAM ISR TAUX M,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/TAI.Par.RA.File.pdf
LBPAM ISR PROFIL 50,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/VEQ.Par.RA.File.pdf
DECISIEL ISR DIVERSIFIE G,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DAF.Par.RA.File.pdf
LBPAM OBLI MONDE D,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/VYS.Par.RA.File.pdf
LBPAM ISR STRATEGIE PEA 2 S,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/FLX.Par.RA.File.pdf
LBPAM VOIE LACTEE L,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/VOL.Par.RA.File.pdf
LBPAM ISR STRATEGIE PEA 1 S,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ARE.Par.RA.File.pdf
DECISIEL ISR ACTIONS 70 T,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DDQ.Par.RA.File.pdf
DECISIEL ISR ACTIONS G,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DAC.Par.RA.File.pdf
DECISIEL ISR ACTIONS 70 SOLIDAIRE G,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DDS.Par.RA.File.pdf
SOREA CROISSANCE F,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/SDC.Par.RA.File.pdf
ACTYS 1 U,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
TOCQUEVILLE MID CAP EURO ISR L,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/FAE.Par.RA.File.pdf
ACTYS 2 U,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
DECISIEL ISR ACTIONS 70 SOLIDAIRE T,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DDS.Par.RA.File.pdf
LBPAM ISR ACTIONS FOCUS EURO E,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ELE.Par.RA.File.pdf
LBPAM ISR ACTIONS VALUE EURO R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/FAV.Par.RA.File.pdf
LBPAM ISR CONVERTIBLES OPPORTUNITES L,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/SCO.Par.RA.File.pdf
LBPAM ISR PROFIL 50 C,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/VEQ.Par.RA.File.pdf
ACTYS 3 U,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ATY.Par.RA.File.pdf
LBPAM ISR MULTI ACTIONS EMERGENTS R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/AME.Par.RA.File.pdf
LBPAM ISR ACTIONS FOCUS FRANCE E,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ELA.Par.RA.File.pdf
LBPAM ISR ACTIONS EURO C,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ETH.Par.RA.File.pdf
LBPAM ISR CONVERTIBLES EUROPE M,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/SCE.Par.RA.File.pdf
LBPAM ISR DIVERSIFIE PLUS R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/MC3.Par.RA.File.pdf
LBPAM ISR ACTIONS ENVIRONNEMENT C,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/RAE.Par.RA.File.pdf
DECISIEL ISR ACTIONS T,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DAC.Par.RA.File.pdf
DECISIEL ISR ACTIONS 70 G,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/DDQ.Par.RA.File.pdf
LBPAM ISR ACTIONS CROISSANCE CHINE R,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/ACC.Par.RA.File.pdf
