name,pdf_url,isin
Aviva Investors Conviction,https://doc.morningstar.com/document/acf8b6ba666b4b719602e11dd91c044d.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007069554
Aviva Investors Crédit Europe - Part IC,https://doc.morningstar.com/document/08f17049ee18408eeeb99605d7006ea1.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007085386
Aviva Investors Climate Transition Global Equity Fund I USD,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU2157504775
Aviva Investors Actions Euro - Part ID,https://doc.morningstar.com/document/acf8b6ba666b4b712d340aca341668f7.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0011049535
Aviva Investors Actions Euro - Part IC,https://doc.morningstar.com/document/acf8b6ba666b4b712d340aca341668f7.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007045604
Aviva Investors Emerging Markets Bond Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0180621947
Aviva Flex - Part I,https://doc.morningstar.com/document/a78441a724bd026fa0d207359d1ac78d.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0013364932
Aviva Flexible Emergents - Part I,https://doc.morningstar.com/document/7e10470d117c5d008f1c6e45ce4a6d7c.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0011035872
AI Inflation Euro HD - Part R,https://doc.morningstar.com/document/5836825bff0008cd3d5f96455e3aa90e.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0011614247
Aviva Croissance Durable ISR - Part I,https://doc.morningstar.com/document/5836825bff0008cd20a82f9d9e299fef.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010753095
Aviva Investors Emerging Markets Equity Small Cap Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1588768256
Aviva Investors Emerging Markets Corporate Bond Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1550133976
Aviva Euro Crédit Court ISR - Part R,annual_report_does_not_exists,FR0011614239
Aviva Investors Emerging Markets Equity Small Cap Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0300874459
Aviva Investors Alpha Yield - Part I,https://doc.morningstar.com/document/08f17049ee18408e9a2ec2925526648f.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010645325
Aviva Amérique - Part IH,https://doc.morningstar.com/document/e130ae445d801a5745bdc53191ecad83.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0013423662
Aviva Grandes Marques ISR - Part A,https://doc.morningstar.com/document/acf8b6ba666b4b71371b92f782d5fdf5.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0011586544
